,FP1,AF3,F7,F3,F4,F8,AF4,FP2,T7,T8,P7,P8,P3,P4
FP1,1.0,0.5762186113297603,0.5243666615770303,0.3387172968153409,0.02569239102579149,0.21929250734769398,0.3827007617304797,0.47833920555160414,0.2144385662654921,0.23355125663843868,0.05391152736604218,0.036108991508430555,0.31020096134929376,0.14799312884364726
AF3,0.5762186113297603,1.0,0.5841303524171602,0.7615808207862671,0.04441411991643107,0.2956063189437539,0.3351487707837012,0.4992119361663084,0.29533778297876145,0.2792175173953258,0.026239506331589668,0.3959149267189008,0.07366126210192706,0.27287260119237533
F7,0.5243666615770303,0.5841303524171602,1.0,0.610582121769002,0.4273903160527064,0.27799450884530275,0.18821042545605401,0.09725468157652753,0.7267797442151748,0.10519679965145037,0.42578326776591857,0.22082980406734634,0.12971510585749155,0.17629933802412534
F3,0.3387172968153409,0.7615808207862671,0.610582121769002,1.0,0.41925565863736014,0.5502798189177978,0.22800088476038755,0.03553993325071797,0.43341954250246867,0.3465466267920425,0.17987296436825156,0.4013051366973576,0.016430675648554924,0.2214229077329024
F4,0.02569239102579149,0.04441411991643107,0.4273903160527064,0.41925565863736014,1.0,0.3486187028546951,0.5943822971093519,0.45124618589502696,0.5180598710845659,0.2517485211059211,0.29830142804424886,0.014703683982259269,0.3344422685200912,0.3170245359932671
F8,0.21929250734769398,0.2956063189437539,0.27799450884530275,0.5502798189177978,0.3486187028546951,1.0,0.4202529878518126,0.3457711573501904,0.19455511546311355,0.5918061640491257,0.3695456770150376,0.40417504834680495,0.3884757140676217,0.2074825025987467
AF4,0.3827007617304797,0.3351487707837012,0.18821042545605401,0.22800088476038755,0.5943822971093519,0.4202529878518126,1.0,0.9002098162332215,0.2692598466835888,0.09845057940118793,0.12025691328023251,0.14797687451631233,0.01890127658473799,0.1455761486171172
FP2,0.47833920555160414,0.4992119361663084,0.09725468157652753,0.03553993325071797,0.45124618589502696,0.3457711573501904,0.9002098162332215,1.0,0.017936292379266652,0.09610300591714832,0.05790936781013899,0.12191651322536667,0.003264138500817304,0.17665074086276758
T7,0.2144385662654921,0.29533778297876145,0.7267797442151748,0.43341954250246867,0.5180598710845659,0.19455511546311355,0.2692598466835888,0.017936292379266652,1.0,0.16728630622304264,0.6016500019473707,0.22409914455062777,0.037167270069909275,0.08061690213892353
T8,0.23355125663843868,0.2792175173953258,0.10519679965145037,0.3465466267920425,0.2517485211059211,0.5918061640491257,0.09845057940118793,0.09610300591714832,0.16728630622304264,1.0,0.41297459513283197,0.7572153894295275,0.6242462785610057,0.30018376238692224
P7,0.05391152736604218,0.026239506331589668,0.42578326776591857,0.17987296436825156,0.29830142804424886,0.3695456770150376,0.12025691328023251,0.05790936781013899,0.6016500019473707,0.41297459513283197,1.0,0.4980017401720854,0.21984447521379488,0.25120689802802154
P8,0.036108991508430555,0.3959149267189008,0.22082980406734634,0.4013051366973576,0.014703683982259269,0.40417504834680495,0.14797687451631233,0.12191651322536667,0.22409914455062777,0.7572153894295275,0.4980017401720854,1.0,0.3098410298595425,0.7161777236824978
P3,0.31020096134929376,0.07366126210192706,0.12971510585749155,0.016430675648554924,0.3344422685200912,0.3884757140676217,0.01890127658473799,0.003264138500817304,0.037167270069909275,0.6242462785610057,0.21984447521379488,0.3098410298595425,0.9999999999999998,0.029616790144255237
P4,0.14799312884364726,0.27287260119237533,0.17629933802412534,0.2214229077329024,0.3170245359932671,0.2074825025987467,0.1455761486171172,0.17665074086276758,0.08061690213892353,0.30018376238692224,0.25120689802802154,0.7161777236824978,0.029616790144255237,1.0
