,FP1,AF3,F7,F3,F4,F8,AF4,FP2,T7,T8,P7,P8,P3,P4
FP1,1.0,0.48238490040013837,0.011276755979815326,0.027946101395842603,0.10023235713122525,0.07427763067084173,0.12419694389413345,0.6544972160569631,0.08447170731858075,0.11966787184161097,0.07301320811040476,0.3264376073867443,0.02962854798502748,0.3331731867254034
AF3,0.48238490040013837,1.0,0.5896566447510148,0.47916626266092915,0.27243745663857405,0.2641977071637779,0.06954515443763387,0.2863450993783787,0.10637448081022889,0.14309066581002602,0.26681715045740706,0.0510490503080147,0.024020733047563227,0.4668389145704174
F7,0.011276755979815326,0.5896566447510148,1.0,0.6400432467961961,0.23761841827995273,0.11355718020696046,0.08864727106603879,0.1672248380119214,0.07911539047739793,0.33243730018557155,0.06772506649073148,0.0789356356436438,0.1293730897493011,0.2548064183112479
F3,0.027946101395842603,0.47916626266092915,0.6400432467961961,1.0,0.34270690812906424,0.14564005570539523,0.31560044487471917,0.04104180978015334,0.29638252465718123,0.13444777058504281,0.2923023030085901,0.039359925572468,0.17051761940417837,0.05222966892426317
F4,0.10023235713122525,0.27243745663857405,0.23761841827995273,0.34270690812906424,0.9999999999999999,0.35125774362609774,0.16889083478364197,0.246392671326625,0.03324101646998365,0.3892091085879726,0.03366837599877947,0.15190757344648226,0.03357133240674725,0.022190091546476387
F8,0.07427763067084173,0.2641977071637779,0.11355718020696046,0.14564005570539523,0.35125774362609774,1.0,0.5883687937066124,0.13971256838322912,0.15262817189769257,0.6132858646553726,0.12011320662924013,0.3421917646407806,0.0042975374345932404,0.08866300881492259
AF4,0.12419694389413345,0.06954515443763387,0.08864727106603879,0.31560044487471917,0.16889083478364197,0.5883687937066124,1.0,0.34843024955981433,0.04208067630705298,0.34929137203077165,0.3300451475410153,0.14151387083887818,0.0449049756050753,0.38236530095714194
FP2,0.6544972160569631,0.2863450993783787,0.1672248380119214,0.04104180978015334,0.246392671326625,0.13971256838322912,0.34843024955981433,1.0,0.09516755449762335,0.05392001797039887,0.05909674000827489,0.2300417270231404,0.134458209908688,0.45206293597929986
T7,0.08447170731858075,0.10637448081022889,0.07911539047739793,0.29638252465718123,0.03324101646998365,0.15262817189769257,0.04208067630705298,0.09516755449762335,1.0,0.15325397224843385,0.0846575596509639,0.24155496146825248,0.4794536125919311,0.4952589541190753
T8,0.11966787184161097,0.14309066581002602,0.33243730018557155,0.13444777058504281,0.3892091085879726,0.6132858646553726,0.34929137203077165,0.05392001797039887,0.15325397224843385,0.9999999999999998,0.09933038339743379,0.08312671041873455,0.1098410616290719,0.14728699619808444
P7,0.07301320811040476,0.26681715045740706,0.06772506649073148,0.2923023030085901,0.03366837599877947,0.12011320662924013,0.3300451475410153,0.05909674000827489,0.0846575596509639,0.09933038339743379,0.9999999999999998,0.054239009900870105,0.1424929144028096,0.00926934468861075
P8,0.3264376073867443,0.0510490503080147,0.0789356356436438,0.039359925572468,0.15190757344648226,0.3421917646407806,0.14151387083887818,0.2300417270231404,0.24155496146825248,0.08312671041873455,0.054239009900870105,1.0,0.0008746548401354637,0.18789639873452044
P3,0.02962854798502748,0.024020733047563227,0.1293730897493011,0.17051761940417837,0.03357133240674725,0.0042975374345932404,0.0449049756050753,0.134458209908688,0.4794536125919311,0.1098410616290719,0.1424929144028096,0.0008746548401354637,0.9999999999999998,0.35840871116727885
P4,0.3331731867254034,0.4668389145704174,0.2548064183112479,0.05222966892426317,0.022190091546476387,0.08866300881492259,0.38236530095714194,0.45206293597929986,0.4952589541190753,0.14728699619808444,0.00926934468861075,0.18789639873452044,0.35840871116727885,1.0
