,FP1,AF3,F7,F3,F4,F8,AF4,FP2,T7,T8,P7,P8,P3,P4
FP1,1.0,0.5202552055258438,0.21057860602378548,0.27494471452771563,0.12123390307287783,0.07314364275500823,0.7790650899087505,0.5606909823860224,0.013991490157378321,0.2310912373124565,0.16379596937426366,0.4014387517561421,0.07231593796821198,0.008854951463775157
AF3,0.5202552055258438,1.0,0.01613194827629097,0.49865186255588867,0.2460491748739061,0.15477218997697784,0.5753382077909269,0.4469076574052094,0.4987111124993615,0.19645529458005034,0.47587552922044163,0.41781562248214954,0.199965245435989,0.2777375080814689
F7,0.21057860602378548,0.01613194827629097,0.9999999999999998,0.2213552084140467,0.2761655773564628,0.08045827586485751,0.10265815296113454,0.2382643007637654,0.1785803425270125,0.012065182205426267,0.016758340220858675,0.06509391666127848,0.24065083069561966,0.32063208880306193
F3,0.27494471452771563,0.49865186255588867,0.2213552084140467,0.9999999999999998,0.22177954016039353,0.11753384941798278,0.42908120541349426,0.24842858508762367,0.05760517312708473,0.23524374438276424,0.09084516812772597,0.1397301133382794,0.051005366737373915,0.05088224992845611
F4,0.12123390307287783,0.2460491748739061,0.2761655773564628,0.22177954016039353,1.0,0.14435416099084514,0.02050624726569747,0.27744646871599077,0.23089015725636333,0.1552210728230035,0.04834005878485906,0.15658067893224578,0.10764350785360939,0.024430020827880664
F8,0.07314364275500823,0.15477218997697784,0.08045827586485751,0.11753384941798278,0.14435416099084514,1.0,0.033978189739125114,0.21002957530550306,0.22196713615211675,0.4530431301975909,0.23325755479955318,0.05170916244215937,0.05796431807706913,0.39254888164767565
AF4,0.7790650899087505,0.5753382077909269,0.10265815296113454,0.42908120541349426,0.02050624726569747,0.033978189739125114,0.9999999999999998,0.4114206364859954,0.22595580896528278,0.20119149242344952,0.39491571632362,0.3140480252180795,0.1601147229675956,0.010393568438823109
FP2,0.5606909823860224,0.4469076574052094,0.2382643007637654,0.24842858508762367,0.27744646871599077,0.21002957530550306,0.4114206364859954,1.0,0.09544569071632375,0.12298748103145875,0.23128968334614447,0.22886163106701873,0.0952977430815217,0.07657222898228322
T7,0.013991490157378321,0.4987111124993615,0.1785803425270125,0.05760517312708473,0.23089015725636333,0.22196713615211675,0.22595580896528278,0.09544569071632375,0.9999999999999999,0.034349756426335976,0.3588887082633423,0.0008146917852707714,0.21550068447874426,0.09309890603472734
T8,0.2310912373124565,0.19645529458005034,0.012065182205426267,0.23524374438276424,0.1552210728230035,0.4530431301975909,0.20119149242344952,0.12298748103145875,0.034349756426335976,1.0,0.5101844064632727,0.015369734850769978,0.3342520699312343,0.31806392836942843
P7,0.16379596937426366,0.47587552922044163,0.016758340220858675,0.09084516812772597,0.04834005878485906,0.23325755479955318,0.39491571632362,0.23128968334614447,0.3588887082633423,0.5101844064632727,1.0,0.020628675816198885,0.7503900463176837,0.18196325407189168
P8,0.4014387517561421,0.41781562248214954,0.06509391666127848,0.1397301133382794,0.15658067893224578,0.05170916244215937,0.3140480252180795,0.22886163106701873,0.0008146917852707714,0.015369734850769978,0.020628675816198885,0.9999999999999998,0.039073588529330364,0.488211005483821
P3,0.07231593796821198,0.199965245435989,0.24065083069561966,0.051005366737373915,0.10764350785360939,0.05796431807706913,0.1601147229675956,0.0952977430815217,0.21550068447874426,0.3342520699312343,0.7503900463176837,0.039073588529330364,1.0,0.028928164259201222
P4,0.008854951463775157,0.2777375080814689,0.32063208880306193,0.05088224992845611,0.024430020827880664,0.39254888164767565,0.010393568438823109,0.07657222898228322,0.09309890603472734,0.31806392836942843,0.18196325407189168,0.488211005483821,0.028928164259201222,0.9999999999999999
