,FP1,AF3,F7,F3,F4,F8,AF4,FP2,T7,T8,P7,P8,P3,P4
FP1,0.9999999999999998,0.6891947202595733,0.5919750073487816,0.09910276239602067,0.266447800931435,0.43014207928080733,0.3128251611416219,0.15856188868163837,0.2749805741287341,0.19859069861504053,0.41684440662835676,0.26956211163157473,0.42894017552521035,0.05075850046679131
AF3,0.6891947202595733,1.0,0.36805590782683295,0.09480411855161583,0.2279109404484978,0.43878747856957095,0.4691227019498956,0.16405252579060256,0.15124285246679314,0.07199441112195337,0.2154350348105439,0.3342655040430582,0.4041311816189592,0.29604332056916394
F7,0.5919750073487816,0.36805590782683295,1.0,0.10319668504830737,0.23941475917262953,0.27770193992897124,0.5523641618969638,0.31134849258433867,0.29445100439492256,0.3237841485490578,0.5334285812936319,0.16951206896606733,0.6984871440038622,0.16606855920637503
F3,0.09910276239602067,0.09480411855161583,0.10319668504830737,1.0,0.6966032320121063,0.45218548610422793,0.3472530626831141,0.032088177978502934,0.13070142179854222,0.04970793598278402,0.27877038789868347,0.5103957243159193,0.15505462208020504,0.6228332376326211
F4,0.266447800931435,0.2279109404484978,0.23941475917262953,0.6966032320121063,1.0,0.15691323096809967,0.4579212106983783,0.17431136391003876,0.27958128681878236,0.05774301172270099,0.049181852675789575,0.2741627036825326,0.1933863444081968,0.6695877477698232
F8,0.43014207928080733,0.43878747856957095,0.27770193992897124,0.45218548610422793,0.15691323096809967,1.0,0.04325515871596314,0.6846757662339983,0.3283988160790646,0.38046907105501443,0.48893090486450047,0.42316845914471884,0.08056502717655842,0.2845929638128319
AF4,0.3128251611416219,0.4691227019498956,0.5523641618969638,0.3472530626831141,0.4579212106983783,0.04325515871596314,0.9999999999999999,0.0612927297979953,0.2759793868983149,0.08098387178092131,0.3473578844090346,0.03179827654878074,0.6967376205819108,0.1319014821764184
FP2,0.15856188868163837,0.16405252579060256,0.31134849258433867,0.032088177978502934,0.17431136391003876,0.6846757662339983,0.0612927297979953,0.9999999999999998,0.25108300524396443,0.3116447465882075,0.1922743118434475,0.02740584694045234,0.03194437996431741,0.25369224928629
T7,0.2749805741287341,0.15124285246679314,0.29445100439492256,0.13070142179854222,0.27958128681878236,0.3283988160790646,0.2759793868983149,0.25108300524396443,1.0,0.16890766123942036,0.19604738032026855,0.09496420247366744,0.31344840094198034,0.1670954920955166
T8,0.19859069861504053,0.07199441112195337,0.3237841485490578,0.04970793598278402,0.05774301172270099,0.38046907105501443,0.08098387178092131,0.3116447465882075,0.16890766123942036,0.9999999999999999,0.10135210440587832,0.14475170917606603,0.1495748204654307,0.3544945568795985
P7,0.41684440662835676,0.2154350348105439,0.5334285812936319,0.27877038789868347,0.049181852675789575,0.48893090486450047,0.3473578844090346,0.1922743118434475,0.19604738032026855,0.10135210440587832,1.0,0.4448400571271747,0.5612651369676129,0.1292040412181223
P8,0.26956211163157473,0.3342655040430582,0.16951206896606733,0.5103957243159193,0.2741627036825326,0.42316845914471884,0.03179827654878074,0.02740584694045234,0.09496420247366744,0.14475170917606603,0.4448400571271747,0.9999999999999999,0.23067410097496277,0.6613877846752546
P3,0.42894017552521035,0.4041311816189592,0.6984871440038622,0.15505462208020504,0.1933863444081968,0.08056502717655842,0.6967376205819108,0.03194437996431741,0.31344840094198034,0.1495748204654307,0.5612651369676129,0.23067410097496277,0.9999999999999999,0.021062630786196163
P4,0.05075850046679131,0.29604332056916394,0.16606855920637503,0.6228332376326211,0.6695877477698232,0.2845929638128319,0.1319014821764184,0.25369224928629,0.1670954920955166,0.3544945568795985,0.1292040412181223,0.6613877846752546,0.021062630786196163,1.0
